Trip_ID,start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph
TRIP_00612,Nehru Place,Dwarka,20.8,Morning Peak,Weekday,Heatwave,High,Highway,34.2
TRIP_00613,Hauz Khas,Preet Vihar,13.62,Afternoon,Weekday,Clear,Medium,Highway,68.1
TRIP_00614,Greater Kailash,Pitampura,20.1,Morning Peak,Weekday,Clear,High,Highway,37.3
TRIP_00615,Greater Kailash,Lajpat Nagar,2.6,Evening Peak,Weekday,Clear,High,Inner Road,13.0
TRIP_00616,Vasant Kunj,Punjabi Bagh,16.74,Morning Peak,Weekday,Rain,Medium,Main Road,21.8
TRIP_00617,Model Town,Janakpuri,14.54,Afternoon,Weekday,Heatwave,Medium,Highway,64.4
TRIP_00618,Hauz Khas,Janakpuri,13.61,Evening Peak,Weekend,Clear,Low,Main Road,38.5
TRIP_00619,Rajouri Garden,Chandni Chowk,10.59,Morning Peak,Weekday,Heatwave,High,Main Road,25.4
TRIP_00620,Connaught Place,Punjabi Bagh,9.3,Night,Weekday,Clear,Low,Main Road,52.9
TRIP_00621,Pitampura,Nehru Place,20.88,Morning Peak,Weekend,Fog,Very High,Main Road,6.8
TRIP_00622,Vasant Kunj,Mayur Vihar,17.08,Afternoon,Weekday,Fog,High,Inner Road,7.8
TRIP_00623,Civil Lines,Vasant Kunj,19.08,Morning Peak,Weekend,Clear,High,Highway,42.9
TRIP_00624,Vasant Kunj,Lajpat Nagar,9.65,Evening Peak,Weekday,Clear,Very High,Main Road,14.9
TRIP_00625,Nehru Place,Connaught Place,9.83,Evening Peak,Weekday,Clear,High,Main Road,24.2
TRIP_00626,Shahdara,Punjabi Bagh,15.41,Morning Peak,Weekend,Heatwave,Medium,Highway,47.0
TRIP_00627,Okhla,Greater Kailash,4.03,Evening Peak,Weekday,Clear,Very High,Highway,16.2
TRIP_00628,Civil Lines,Noida Sector 18,15.73,Morning Peak,Weekday,Clear,Very High,Inner Road,8.0
TRIP_00629,Preet Vihar,Connaught Place,7.48,Morning Peak,Weekday,Clear,Medium,Main Road,37.7
TRIP_00630,Mayur Vihar,Preet Vihar,3.05,Night,Weekday,Clear,Low,Main Road,55.3
TRIP_00631,IGI Airport,Mayur Vihar,20.09,Afternoon,Weekend,Fog,Low,Highway,35.5
TRIP_00632,Lajpat Nagar,Okhla,5.46,Afternoon,Weekday,Rain,High,Inner Road,13.5
TRIP_00633,Punjabi Bagh,Vasant Kunj,16.74,Afternoon,Weekend,Clear,High,Inner Road,8.3
TRIP_00634,Janakpuri,Karol Bagh,10.56,Evening Peak,Weekend,Clear,Very High,Highway,18.8
TRIP_00635,Punjabi Bagh,Rajouri Garden,2.52,Morning Peak,Weekend,Clear,Low,Main Road,44.3
TRIP_00636,Karol Bagh,Noida Sector 18,16.06,Afternoon,Weekday,Rain,High,Main Road,15.5
TRIP_00637,Shahdara,Dwarka,25.37,Morning Peak,Weekday,Clear,Very High,Highway,17.0
TRIP_00638,Model Town,Pitampura,5.98,Evening Peak,Weekday,Rain,Low,Main Road,30.8
TRIP_00639,Shahdara,Mayur Vihar,6.61,Evening Peak,Weekend,Clear,High,Main Road,22.6
TRIP_00640,Vasant Kunj,Lajpat Nagar,9.65,Afternoon,Weekday,Clear,High,Inner Road,14.5
TRIP_00641,Greater Kailash,Punjabi Bagh,16.84,Evening Peak,Weekend,Clear,Low,Main Road,39.9
TRIP_00642,Saket,Punjabi Bagh,17.62,Evening Peak,Weekend,Clear,High,Main Road,22.3
TRIP_00643,IGI Airport,Dwarka,6.61,Evening Peak,Weekday,Clear,Very High,Main Road,9.9
TRIP_00644,Vasant Kunj,Pitampura,20.67,Night,Weekday,Clear,Very High,Highway,17.3
TRIP_00645,Noida Sector 18,Nehru Place,7.47,Morning Peak,Weekend,Clear,Low,Main Road,47.9
TRIP_00646,Shahdara,Dwarka,25.37,Morning Peak,Weekend,Clear,Low,Main Road,49.2
TRIP_00647,Janakpuri,Saket,15.88,Afternoon,Weekend,Clear,Medium,Main Road,35.0
TRIP_00648,Nehru Place,Karol Bagh,12.97,Evening Peak,Weekend,Clear,High,Highway,35.3
TRIP_00649,AIIMS,Civil Lines,12.66,Morning Peak,Weekday,Clear,High,Main Road,22.1
TRIP_00650,Nehru Place,Pitampura,20.88,Evening Peak,Weekday,Clear,Medium,Highway,61.8
TRIP_00651,Noida Sector 18,Rohini,33.01,Evening Peak,Weekday,Clear,Very High,Inner Road,8.2
TRIP_00652,Mayur Vihar,Connaught Place,7.89,Afternoon,Weekend,Clear,Medium,Inner Road,27.2
TRIP_00653,Kalkaji,Pitampura,22.07,Night,Weekend,Clear,Low,Highway,84.6
TRIP_00654,Hauz Khas,Chandni Chowk,11.65,Evening Peak,Weekday,Clear,Very High,Main Road,9.4
TRIP_00655,Pitampura,Vasant Kunj,20.67,Morning Peak,Weekend,Heatwave,Low,Highway,64.9
TRIP_00656,Preet Vihar,Rohini,25.98,Afternoon,Weekday,Clear,Medium,Highway,54.0
TRIP_00657,Saket,Janakpuri,15.88,Morning Peak,Weekday,Clear,Very High,Highway,21.2
TRIP_00658,Pitampura,Nehru Place,20.88,Night,Weekend,Clear,Low,Main Road,52.4
TRIP_00659,Rajouri Garden,Lajpat Nagar,14.1,Morning Peak,Weekday,Clear,Medium,Highway,65.3
TRIP_00660,Saket,Mayur Vihar,13.17,Night,Weekday,Clear,Medium,Main Road,34.8
TRIP_00661,Kalkaji,Okhla,1.94,Evening Peak,Weekday,Clear,High,Inner Road,16.5
TRIP_00662,Rajouri Garden,Noida Sector 18,21.63,Night,Weekday,Clear,Medium,Highway,53.6
TRIP_00663,Okhla,Chandni Chowk,13.88,Evening Peak,Weekend,Clear,Medium,Main Road,27.3
TRIP_00664,Rohini,Preet Vihar,25.98,Evening Peak,Weekday,Clear,High,Highway,37.0
TRIP_00665,Punjabi Bagh,IGI Airport,12.83,Evening Peak,Weekday,Rain,High,Highway,26.1
TRIP_00666,Pitampura,Kalkaji,22.07,Evening Peak,Weekday,Clear,High,Main Road,28.9
TRIP_00667,Noida Sector 18,Lajpat Nagar,8.66,Morning Peak,Weekday,Heatwave,High,Main Road,18.4
TRIP_00668,Rohini,Pitampura,8.97,Afternoon,Weekday,Clear,Medium,Inner Road,25.2
TRIP_00669,Saket,IGI Airport,11.0,Morning Peak,Weekday,Clear,Very High,Highway,16.4
TRIP_00670,Rajouri Garden,Kalkaji,17.69,Morning Peak,Weekday,Clear,Very High,Main Road,10.8
TRIP_00671,IGI Airport,Dwarka,6.61,Morning Peak,Weekend,Clear,High,Main Road,29.5
TRIP_00672,Okhla,Mayur Vihar,9.53,Evening Peak,Weekday,Clear,Very High,Highway,20.7
TRIP_00673,Saket,Hauz Khas,2.85,Afternoon,Weekday,Clear,Medium,Inner Road,19.9
TRIP_00674,Chandni Chowk,Civil Lines,3.35,Evening Peak,Weekend,Clear,High,Highway,36.2
TRIP_00675,AIIMS,Dwarka,16.25,Night,Weekday,Fog,Low,Inner Road,20.4
TRIP_00676,Okhla,Chandni Chowk,13.88,Afternoon,Weekday,Clear,Medium,Main Road,30.1
TRIP_00677,Connaught Place,Punjabi Bagh,9.3,Morning Peak,Weekday,Clear,Very High,Main Road,11.0
TRIP_00678,AIIMS,Janakpuri,13.39,Morning Peak,Weekday,Clear,Very High,Main Road,15.1
TRIP_00679,Kalkaji,Okhla,1.94,Evening Peak,Weekday,Clear,Low,Inner Road,18.3
TRIP_00680,Rajouri Garden,Connaught Place,9.35,Morning Peak,Weekday,Clear,Very High,Main Road,11.8
TRIP_00681,Janakpuri,Mayur Vihar,20.24,Evening Peak,Weekday,Rain,Medium,Main Road,20.7
TRIP_00682,Rohini,Civil Lines,18.15,Evening Peak,Weekday,Clear,Very High,Main Road,9.8
TRIP_00683,Shahdara,Okhla,15.92,Afternoon,Weekday,Clear,Medium,Main Road,34.4
TRIP_00684,Kalkaji,Noida Sector 18,8.19,Morning Peak,Weekend,Clear,Very High,Inner Road,8.2
TRIP_00685,Shahdara,Noida Sector 18,12.02,Afternoon,Weekday,Clear,Very High,Highway,17.3
TRIP_00686,Karol Bagh,Punjabi Bagh,6.08,Morning Peak,Weekend,Clear,High,Inner Road,18.3
TRIP_00687,Chandni Chowk,Lajpat Nagar,8.98,Morning Peak,Weekday,Rain,Very High,Highway,11.8
TRIP_00688,Rajouri Garden,Kalkaji,17.69,Evening Peak,Weekday,Clear,High,Main Road,19.6
TRIP_00689,Okhla,Vasant Kunj,11.21,Night,Weekend,Clear,Low,Highway,91.0
TRIP_00690,Punjabi Bagh,Pitampura,3.98,Morning Peak,Weekday,Clear,High,Main Road,23.7
TRIP_00691,Chandni Chowk,Karol Bagh,3.94,Evening Peak,Weekend,Clear,High,Main Road,18.4
TRIP_00692,IGI Airport,Dwarka,6.61,Evening Peak,Weekend,Clear,Very High,Main Road,11.7
TRIP_00693,Preet Vihar,Nehru Place,10.93,Morning Peak,Weekday,Rain,Low,Main Road,25.1
TRIP_00694,Chandni Chowk,Saket,14.23,Morning Peak,Weekday,Clear,Low,Highway,79.3
TRIP_00695,Connaught Place,Vasant Kunj,13.75,Morning Peak,Weekday,Heatwave,High,Main Road,27.9
TRIP_00696,Mayur Vihar,Saket,13.17,Night,Weekday,Clear,Medium,Main Road,43.7
TRIP_00697,Nehru Place,Noida Sector 18,7.47,Evening Peak,Weekday,Clear,Very High,Highway,17.3
TRIP_00698,Saket,Chandni Chowk,14.23,Afternoon,Weekend,Clear,Low,Main Road,59.9
TRIP_00699,Nehru Place,AIIMS,4.68,Morning Peak,Weekday,Clear,High,Inner Road,17.1
TRIP_00700,Nehru Place,Shahdara,14.22,Morning Peak,Weekday,Heatwave,Very High,Inner Road,8.4
TRIP_00701,Greater Kailash,AIIMS,3.26,Afternoon,Weekday,Clear,Low,Inner Road,32.8
TRIP_00702,Rohini,Saket,29.0,Morning Peak,Weekend,Clear,High,Highway,41.6
TRIP_00703,Mayur Vihar,Dwarka,24.43,Afternoon,Weekday,Rain,Medium,Main Road,24.1
TRIP_00704,Lajpat Nagar,Mayur Vihar,7.45,Afternoon,Weekday,Clear,Medium,Main Road,31.5
TRIP_00705,Greater Kailash,Punjabi Bagh,16.84,Evening Peak,Weekday,Rain,High,Main Road,12.3
TRIP_00706,Shahdara,Civil Lines,6.29,Evening Peak,Weekday,Fog,Medium,Highway,32.6
TRIP_00707,Greater Kailash,AIIMS,3.26,Afternoon,Weekday,Clear,Medium,Main Road,26.5
TRIP_00708,Connaught Place,Greater Kailash,9.57,Afternoon,Weekday,Heatwave,Medium,Main Road,27.3
TRIP_00709,Kalkaji,Okhla,1.94,Afternoon,Weekday,Clear,Medium,Inner Road,23.2
TRIP_00710,Mayur Vihar,Connaught Place,7.89,Evening Peak,Weekday,Clear,High,Highway,37.9
TRIP_00711,Greater Kailash,Civil Lines,14.87,Evening Peak,Weekday,Clear,Very High,Highway,18.9
TRIP_00712,Nehru Place,Civil Lines,14.85,Morning Peak,Weekend,Heatwave,Medium,Inner Road,26.0
TRIP_00713,Connaught Place,Shahdara,8.44,Evening Peak,Weekend,Fog,High,Main Road,11.7
TRIP_00714,Connaught Place,Shahdara,8.44,Evening Peak,Weekday,Clear,Low,Highway,63.0
TRIP_00715,Preet Vihar,Connaught Place,7.48,Evening Peak,Weekend,Heatwave,Very High,Inner Road,8.8
TRIP_00716,IGI Airport,Kalkaji,15.01,Morning Peak,Weekend,Clear,High,Main Road,26.9
TRIP_00717,Connaught Place,Saket,11.95,Morning Peak,Weekend,Clear,Low,Highway,78.3
TRIP_00718,Okhla,Janakpuri,20.56,Morning Peak,Weekend,Clear,Medium,Highway,58.9
TRIP_00719,Connaught Place,Rajouri Garden,9.35,Afternoon,Weekday,Clear,Low,Highway,66.7
TRIP_00720,Vasant Kunj,Kalkaji,9.44,Evening Peak,Weekend,Clear,Very High,Inner Road,8.2
TRIP_00721,Noida Sector 18,Hauz Khas,12.51,Night,Weekday,Clear,Low,Main Road,56.6
TRIP_00722,Preet Vihar,Dwarka,24.67,Afternoon,Weekend,Rain,Medium,Highway,42.9
TRIP_00723,Noida Sector 18,Hauz Khas,12.51,Evening Peak,Weekday,Heatwave,Very High,Main Road,10.0
TRIP_00724,Pitampura,Model Town,5.98,Evening Peak,Weekday,Clear,Very High,Main Road,13.1
TRIP_00725,Connaught Place,Karol Bagh,3.42,Afternoon,Weekend,Clear,High,Inner Road,19.2
TRIP_00726,Saket,IGI Airport,11.0,Evening Peak,Weekday,Clear,Very High,Highway,19.4
TRIP_00727,Vasant Kunj,Chandni Chowk,16.27,Afternoon,Weekday,Heatwave,Medium,Highway,51.4
TRIP_00728,Noida Sector 18,Preet Vihar,8.57,Evening Peak,Weekday,Clear,Very High,Main Road,13.3
TRIP_00729,Vasant Kunj,Dwarka,13.52,Morning Peak,Weekday,Heatwave,Very High,Main Road,13.2
TRIP_00730,Janakpuri,Shahdara,20.44,Afternoon,Weekday,Clear,Medium,Highway,54.9
TRIP_00731,IGI Airport,Punjabi Bagh,12.83,Morning Peak,Weekday,Fog,Very High,Main Road,7.4
TRIP_00732,Vasant Kunj,IGI Airport,6.9,Evening Peak,Weekend,Clear,Medium,Main Road,39.0
TRIP_00733,Preet Vihar,Shahdara,3.56,Afternoon,Weekend,Heatwave,Medium,Inner Road,19.6
TRIP_00734,Rohini,Lajpat Nagar,26.64,Evening Peak,Weekday,Rain,High,Highway,23.1
TRIP_00735,Noida Sector 18,Rajouri Garden,21.63,Evening Peak,Weekday,Clear,High,Main Road,28.0
TRIP_00736,AIIMS,Shahdara,14.08,Evening Peak,Weekend,Clear,Low,Main Road,34.0
TRIP_00737,Shahdara,AIIMS,14.08,Evening Peak,Weekday,Clear,Very High,Highway,18.9
TRIP_00738,Greater Kailash,Civil Lines,14.87,Night,Weekday,Clear,Low,Inner Road,28.6
TRIP_00739,Civil Lines,Hauz Khas,14.76,Evening Peak,Weekday,Rain,Very High,Highway,11.6
TRIP_00740,Punjabi Bagh,Nehru Place,17.83,Afternoon,Weekday,Clear,Very High,Highway,18.9
TRIP_00741,Janakpuri,Chandni Chowk,14.33,Morning Peak,Weekend,Heatwave,Low,Main Road,35.0
TRIP_00742,Model Town,Rajouri Garden,10.2,Morning Peak,Weekday,Clear,Very High,Main Road,12.8
TRIP_00743,AIIMS,Janakpuri,13.39,Afternoon,Weekend,Heatwave,Medium,Main Road,26.5
TRIP_00744,Shahdara,IGI Airport,22.57,Afternoon,Weekend,Clear,Medium,Highway,49.6
TRIP_00745,Rohini,Vasant Kunj,27.39,Evening Peak,Weekday,Clear,High,Main Road,23.6
TRIP_00746,Punjabi Bagh,Mayur Vihar,17.1,Evening Peak,Weekday,Clear,Very High,Main Road,11.5
TRIP_00747,Vasant Kunj,Mayur Vihar,17.08,Evening Peak,Weekday,Clear,High,Main Road,24.0
TRIP_00748,Noida Sector 18,Dwarka,27.45,Morning Peak,Weekday,Clear,High,Main Road,19.4
TRIP_00749,Model Town,Shahdara,10.5,Afternoon,Weekday,Rain,Low,Main Road,38.2
TRIP_00750,Nehru Place,Pitampura,20.88,Evening Peak,Weekend,Clear,Medium,Highway,52.8
TRIP_00751,Civil Lines,Janakpuri,14.89,Morning Peak,Weekday,Clear,Very High,Highway,17.3
TRIP_00752,Pitampura,Vasant Kunj,20.67,Night,Weekend,Clear,Low,Highway,72.7
TRIP_00753,Model Town,Noida Sector 18,20.73,Evening Peak,Weekday,Fog,High,Highway,18.9
TRIP_00754,AIIMS,Rohini,25.2,Afternoon,Weekday,Fog,High,Highway,19.3
TRIP_00755,AIIMS,IGI Airport,10.81,Evening Peak,Weekday,Heatwave,Medium,Main Road,31.9
TRIP_00756,Rohini,Civil Lines,18.15,Morning Peak,Weekday,Clear,Very High,Highway,15.7
TRIP_00757,Greater Kailash,Okhla,4.03,Afternoon,Weekday,Rain,Low,Inner Road,11.7
TRIP_00758,IGI Airport,Chandni Chowk,16.54,Morning Peak,Weekday,Clear,High,Highway,36.6
TRIP_00759,Model Town,Punjabi Bagh,7.93,Afternoon,Weekday,Rain,High,Inner Road,8.4
TRIP_00760,IGI Airport,Hauz Khas,9.81,Evening Peak,Weekday,Rain,Very High,Main Road,6.5
TRIP_00761,Mayur Vihar,Saket,13.17,Morning Peak,Weekday,Rain,Very High,Highway,10.7
TRIP_00762,Model Town,Nehru Place,19.38,Evening Peak,Weekday,Rain,High,Highway,27.4
TRIP_00763,Rohini,AIIMS,25.2,Evening Peak,Weekday,Rain,Very High,Highway,12.6
TRIP_00764,AIIMS,Punjabi Bagh,13.63,Morning Peak,Weekday,Rain,Medium,Inner Road,15.1
TRIP_00765,IGI Airport,Karol Bagh,13.83,Evening Peak,Weekday,Rain,High,Main Road,19.0
TRIP_00766,Kalkaji,Janakpuri,18.68,Afternoon,Weekend,Fog,Medium,Highway,30.7
TRIP_00767,Hauz Khas,Mayur Vihar,11.72,Afternoon,Weekday,Clear,Low,Main Road,36.6
TRIP_00768,Mayur Vihar,Vasant Kunj,17.08,Night,Weekday,Clear,Medium,Main Road,28.7
TRIP_00769,Greater Kailash,Rajouri Garden,15.57,Morning Peak,Weekend,Rain,High,Highway,23.9
TRIP_00770,AIIMS,Dwarka,16.25,Morning Peak,Weekend,Clear,Very High,Highway,18.3
TRIP_00771,Karol Bagh,Mayur Vihar,11.04,Afternoon,Weekday,Rain,High,Highway,27.6
TRIP_00772,AIIMS,Model Town,16.52,Evening Peak,Weekday,Heatwave,High,Main Road,22.3
TRIP_00773,Preet Vihar,Model Town,12.75,Morning Peak,Weekday,Clear,High,Inner Road,12.9
TRIP_00774,Mayur Vihar,Chandni Chowk,7.47,Afternoon,Weekend,Heatwave,Very High,Main Road,9.6
TRIP_00775,Janakpuri,Punjabi Bagh,6.67,Afternoon,Weekday,Rain,Medium,Inner Road,16.1
TRIP_00776,Vasant Kunj,Janakpuri,13.24,Morning Peak,Weekday,Clear,High,Main Road,17.9
TRIP_00777,Saket,Kalkaji,4.6,Evening Peak,Weekday,Clear,Very High,Inner Road,7.7
TRIP_00778,Hauz Khas,Punjabi Bagh,14.84,Evening Peak,Weekday,Clear,Very High,Highway,17.1
TRIP_00779,IGI Airport,Rajouri Garden,10.32,Morning Peak,Weekday,Clear,High,Main Road,28.4
TRIP_00780,Chandni Chowk,Vasant Kunj,16.27,Morning Peak,Weekend,Clear,Very High,Main Road,12.4
TRIP_00781,Noida Sector 18,Hauz Khas,12.51,Night,Weekday,Clear,Low,Main Road,40.3
TRIP_00782,Mayur Vihar,Connaught Place,7.89,Afternoon,Weekday,Clear,Medium,Highway,49.0
TRIP_00783,Greater Kailash,Civil Lines,14.87,Evening Peak,Weekday,Rain,Very High,Main Road,6.4
TRIP_00784,Shahdara,Punjabi Bagh,15.41,Morning Peak,Weekday,Clear,Medium,Highway,59.1
TRIP_00785,Okhla,Civil Lines,17.22,Evening Peak,Weekend,Rain,Very High,Main Road,6.7
TRIP_00786,Noida Sector 18,Janakpuri,23.96,Night,Weekend,Clear,Low,Highway,74.5
TRIP_00787,Kalkaji,Saket,4.6,Morning Peak,Weekday,Clear,High,Inner Road,16.6
TRIP_00788,Saket,Hauz Khas,2.85,Morning Peak,Weekday,Fog,Very High,Inner Road,4.9
TRIP_00789,Vasant Kunj,Nehru Place,9.97,Evening Peak,Weekday,Clear,Very High,Highway,20.1
TRIP_00790,Civil Lines,Nehru Place,14.85,Evening Peak,Weekday,Clear,Medium,Main Road,36.9
TRIP_00791,Nehru Place,Shahdara,14.22,Morning Peak,Weekday,Heatwave,Very High,Highway,19.1
TRIP_00792,Kalkaji,Janakpuri,18.68,Afternoon,Weekend,Clear,Medium,Main Road,43.7
TRIP_00793,Preet Vihar,Vasant Kunj,18.93,Afternoon,Weekday,Clear,Low,Main Road,56.8
TRIP_00794,AIIMS,Janakpuri,13.39,Night,Weekday,Heatwave,High,Inner Road,11.2
TRIP_00795,Noida Sector 18,IGI Airport,22.12,Morning Peak,Weekday,Clear,Very High,Highway,22.6
TRIP_00796,Hauz Khas,Saket,2.85,Evening Peak,Weekday,Fog,High,Inner Road,8.0
TRIP_00797,Mayur Vihar,Shahdara,6.61,Morning Peak,Weekday,Heatwave,Very High,Inner Road,8.0
TRIP_00798,Pitampura,Kalkaji,22.07,Evening Peak,Weekday,Clear,High,Highway,36.3
TRIP_00799,Noida Sector 18,Civil Lines,15.73,Morning Peak,Weekday,Clear,Very High,Main Road,13.8
TRIP_00800,Okhla,Chandni Chowk,13.88,Afternoon,Weekday,Clear,Medium,Main Road,28.8
TRIP_00801,AIIMS,Mayur Vihar,9.79,Evening Peak,Weekday,Rain,Very High,Main Road,8.6
TRIP_00802,Rajouri Garden,Dwarka,9.64,Morning Peak,Weekday,Clear,High,Main Road,27.2
TRIP_00803,Shahdara,Vasant Kunj,21.4,Evening Peak,Weekend,Clear,Low,Highway,74.5
TRIP_00804,Okhla,Lajpat Nagar,5.46,Evening Peak,Weekend,Clear,High,Main Road,19.4
TRIP_00805,Rajouri Garden,Saket,15.91,Morning Peak,Weekend,Clear,High,Highway,34.0
TRIP_00806,Dwarka,Kalkaji,21.07,Afternoon,Weekday,Clear,High,Highway,33.3
TRIP_00807,Shahdara,Connaught Place,8.44,Evening Peak,Weekday,Clear,Very High,Main Road,14.1
TRIP_00808,Connaught Place,Model Town,9.58,Afternoon,Weekend,Heatwave,Low,Inner Road,37.0
TRIP_00809,Civil Lines,Okhla,17.22,Morning Peak,Weekday,Clear,High,Highway,44.0
TRIP_00810,Kalkaji,Vasant Kunj,9.44,Night,Weekday,Clear,High,Inner Road,16.9
TRIP_00811,Shahdara,Mayur Vihar,6.61,Morning Peak,Weekend,Heatwave,Very High,Inner Road,7.9
TRIP_00812,Rohini,Preet Vihar,25.98,Evening Peak,Weekday,Heatwave,Very High,Highway,19.1
TRIP_00813,Model Town,Greater Kailash,19.14,Evening Peak,Weekday,Heatwave,Medium,Highway,51.5
TRIP_00814,Preet Vihar,Okhla,12.45,Afternoon,Weekend,Rain,Low,Main Road,36.8
TRIP_00815,Noida Sector 18,Vasant Kunj,17.44,Morning Peak,Weekday,Clear,High,Highway,31.9
TRIP_00816,Connaught Place,Noida Sector 18,12.67,Evening Peak,Weekday,Heatwave,Very High,Highway,20.7
TRIP_00817,Preet Vihar,Pitampura,17.1,Evening Peak,Weekday,Clear,Very High,Highway,20.0
TRIP_00818,Nehru Place,Greater Kailash,1.9,Evening Peak,Weekend,Clear,Low,Inner Road,22.2
TRIP_00819,Dwarka,Karol Bagh,15.59,Morning Peak,Weekend,Clear,Medium,Main Road,30.9
TRIP_00820,Dwarka,Punjabi Bagh,11.86,Evening Peak,Weekday,Fog,Very High,Main Road,5.7
TRIP_00821,Preet Vihar,Shahdara,3.56,Afternoon,Weekday,Clear,Medium,Inner Road,19.5
TRIP_00822,Mayur Vihar,AIIMS,9.79,Evening Peak,Weekday,Rain,Very High,Main Road,10.6
TRIP_00823,Lajpat Nagar,Hauz Khas,4.29,Night,Weekday,Clear,Low,Inner Road,19.5
TRIP_00824,Noida Sector 18,Vasant Kunj,17.44,Afternoon,Weekday,Clear,High,Main Road,30.7
TRIP_00825,Chandni Chowk,Pitampura,11.29,Evening Peak,Weekend,Clear,Medium,Highway,56.8
TRIP_00826,Mayur Vihar,Greater Kailash,9.55,Morning Peak,Weekday,Clear,High,Main Road,23.2
TRIP_00827,Preet Vihar,Karol Bagh,10.02,Afternoon,Weekday,Clear,Medium,Main Road,37.5
TRIP_00828,Shahdara,Okhla,15.92,Night,Weekday,Clear,Low,Highway,67.3
TRIP_00829,Saket,IGI Airport,11.0,Morning Peak,Weekend,Clear,High,Highway,38.1
TRIP_00830,Karol Bagh,Connaught Place,3.42,Afternoon,Weekday,Clear,Low,Inner Road,31.5
TRIP_00831,Rohini,Punjabi Bagh,11.6,Night,Weekend,Clear,Low,Highway,77.0
TRIP_00832,Karol Bagh,Preet Vihar,10.02,Morning Peak,Weekday,Clear,Very High,Main Road,12.3
TRIP_00833,Model Town,Noida Sector 18,20.73,Evening Peak,Weekday,Clear,Very High,Main Road,11.0
TRIP_00834,Preet Vihar,Lajpat Nagar,9.58,Evening Peak,Weekday,Heatwave,High,Main Road,21.1
TRIP_00835,Rohini,IGI Airport,21.91,Morning Peak,Weekday,Rain,Low,Highway,57.9
TRIP_00836,Mayur Vihar,Saket,13.17,Morning Peak,Weekend,Fog,Medium,Highway,30.2
TRIP_00837,Kalkaji,Okhla,1.94,Morning Peak,Weekend,Fog,Low,Main Road,21.1
TRIP_00838,Mayur Vihar,IGI Airport,20.09,Evening Peak,Weekday,Clear,High,Main Road,22.6
TRIP_00839,Rajouri Garden,Chandni Chowk,10.59,Afternoon,Weekday,Rain,Low,Main Road,38.4
TRIP_00840,Okhla,Kalkaji,1.94,Afternoon,Weekday,Clear,Low,Inner Road,33.3
TRIP_00841,Shahdara,Lajpat Nagar,12.53,Evening Peak,Weekday,Fog,Medium,Highway,27.0
TRIP_00842,Connaught Place,Karol Bagh,3.42,Evening Peak,Weekday,Clear,Very High,Main Road,9.7
TRIP_00843,Janakpuri,Model Town,14.54,Evening Peak,Weekday,Clear,High,Highway,37.0
TRIP_00844,Vasant Kunj,IGI Airport,6.9,Morning Peak,Weekend,Fog,Medium,Main Road,19.2
TRIP_00845,Janakpuri,Rajouri Garden,4.38,Night,Weekday,Clear,Low,Inner Road,19.4
TRIP_00846,Saket,Okhla,6.33,Evening Peak,Weekday,Clear,High,Inner Road,17.9
TRIP_00847,Lajpat Nagar,Rohini,26.64,Afternoon,Weekday,Rain,High,Highway,23.0
TRIP_00848,Chandni Chowk,Janakpuri,14.33,Night,Weekday,Fog,High,Inner Road,10.5
TRIP_00849,Noida Sector 18,Chandni Chowk,12.9,Afternoon,Weekday,Clear,Medium,Main Road,32.2
TRIP_00850,Kalkaji,IGI Airport,15.01,Afternoon,Weekday,Clear,Low,Highway,78.8
TRIP_00851,Punjabi Bagh,Karol Bagh,6.08,Morning Peak,Weekday,Fog,Low,Inner Road,10.7
TRIP_00852,Mayur Vihar,Model Town,15.05,Evening Peak,Weekend,Rain,High,Main Road,12.4
TRIP_00853,Pitampura,Preet Vihar,17.1,Afternoon,Weekday,Clear,Medium,Highway,60.2
TRIP_00854,Mayur Vihar,Civil Lines,10.05,Night,Weekday,Clear,Medium,Highway,51.5
TRIP_00855,Connaught Place,Model Town,9.58,Afternoon,Weekday,Fog,High,Inner Road,8.0
TRIP_00856,Greater Kailash,Chandni Chowk,11.55,Afternoon,Weekday,Clear,Medium,Main Road,38.2
TRIP_00857,Chandni Chowk,Connaught Place,2.54,Afternoon,Weekday,Clear,High,Inner Road,15.9
TRIP_00858,IGI Airport,Civil Lines,18.43,Afternoon,Weekday,Clear,High,Main Road,26.1
TRIP_00859,Dwarka,IGI Airport,6.61,Evening Peak,Weekday,Heatwave,Very High,Main Road,11.1
TRIP_00860,Model Town,Chandni Chowk,8.08,Evening Peak,Weekday,Clear,Very High,Main Road,12.1
TRIP_00861,Preet Vihar,Chandni Chowk,6.1,Morning Peak,Weekday,Fog,Low,Main Road,23.9
TRIP_00862,Janakpuri,Karol Bagh,10.56,Evening Peak,Weekday,Heatwave,High,Highway,38.1
TRIP_00863,Preet Vihar,Rajouri Garden,16.6,Morning Peak,Weekend,Rain,Medium,Highway,38.2
TRIP_00864,Rohini,AIIMS,25.2,Afternoon,Weekday,Heatwave,Medium,Main Road,33.1
TRIP_00865,Model Town,Greater Kailash,19.14,Evening Peak,Weekday,Clear,High,Inner Road,18.7
TRIP_00866,Vasant Kunj,Hauz Khas,5.36,Morning Peak,Weekday,Clear,Medium,Inner Road,25.1
TRIP_00867,Vasant Kunj,Karol Bagh,15.08,Evening Peak,Weekend,Rain,Medium,Highway,38.2
